Feature,Importance
height_of_headcentre_t-10,0.0015786758862804224
distance_between_bodycentre_and_tailbase_on_x_t-6,0.0015755143833857648
height_of_earl_t+3,0.0015752223365875597
height_of_earl_t-11,0.0015665733898303459
distance_between_bodycentre_and_tailbase_on_z_t+4,0.0015654667615239606
distance_to_boundary_dynamic_earr_in_oft_t+6,0.001504318030788624
distance_between_bodycentre_and_tailbase_on_y_t-2,0.0014978277777897672
height_of_bodycentre_t+4,0.0014901476816700477
angle_from_tailbase_bodycentre_to_tailbase_hipr_in_xy_t+5,0.0014865866550510891
speed_of_headcentre_in_xyz_t+6,0.0014588293607533192
speed_of_headcentre_in_xyz_t-2,0.0014539116156108039
angle_from_tailbase_bodycentre_to_tailbase_hipl_in_xy_t+12,0.0014485099005468042
distance_between_bodycentre_and_tailbase_on_x_t+6,0.0014419670653943143
distance_between_neck_and_bodycentre_on_z_t-9,0.0014353786739786326
height_of_neck_t0,0.0014350074218765357
distance_between_bodycentre_and_tailbase_on_y_t+8,0.0014313106540643828
speed_of_headcentre_in_xyz_t+10,0.001418931555660972
speed_of_headcentre_in_xyz_t+13,0.0014177571123519498
height_of_neck_t+8,0.0014128861749546074
distance_between_bodycentre_and_tailbase_on_z_t+3,0.0014112569065298402
distance_between_bodycentre_and_tailbase_on_z_t-12,0.0014100001202289158
distance_between_bodycentre_and_tailbase_on_z_t+1,0.001405394558081732
distance_between_bodycentre_and_tailbase_on_y_t+4,0.0013960468553266742
standard_deviation_headcentre_t-4,0.0013954203360771248
distance_between_neck_and_bodycentre_on_z_t+4,0.0013867566769222605
standard_deviation_headcentre_t-1,0.0013803598807144483
speed_of_headcentre_in_xyz_t-4,0.0013739302910636608
distance_between_neck_and_bcr_on_z_t-10,0.0013647696015003702
speed_of_tailbase_in_xyz_t+10,0.001363165029548711
height_of_bcr_t+4,0.0013590824220249683
distance_to_boundary_dynamic_earr_in_oft_t-1,0.0013565397752893118
height_of_bodycentre_t-3,0.001355823265293824
height_of_bodycentre_t+7,0.0013505811940250736
distance_between_bodycentre_and_tailbase_on_z_t-5,0.0013414800325237625
height_of_earl_t-6,0.0013137586933885425
